이름,연도,WAR,득점,안타,2루타,3루타,홈런,타점,도루,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wRC+,수상여부
심재학,2002,2.63,56,94,16,3,15,57,2.0,67,6,4,55,11,0,7,0.245,0.361,0.42,0.781,113.4,0
박용택,2002,2.41,68,108,28,6,9,55,20.0,38,6,1,109,11,1,4,0.288,0.359,0.467,0.826,129.9,0
양준혁,2002,2.37,60,108,23,2,14,50,,39,5,3,56,9,0,1,0.276,0.349,0.453,0.802,117.9,0
박한이,2002,1.85,89,137,24,2,10,47,13.0,60,6,3,79,15,14,2,0.272,0.355,0.387,0.742,108.2,0
정수근,2002,0.9,58,100,9,2,3,22,40.0,44,3,2,51,8,8,1,0.235,0.31,0.286,0.596,63.1,0
장원진,2002,0.44,55,122,12,3,1,30,2.0,31,3,0,65,10,7,3,0.275,0.324,0.322,0.646,80.1,0
심정수,2003,8.98,110,154,16,1,53,142,6.0,124,9,17,63,14,0,8,0.335,0.478,0.72,1.198,207.3,1
이종범,2003,6.77,110,165,43,1,20,61,50.0,59,7,5,58,8,1,4,0.315,0.389,0.515,0.904,146.3,1
양준혁,2003,6.14,90,161,37,2,33,92,,49,6,2,49,13,4,2,0.329,0.395,0.614,1.009,169.0,1
이진영,2003,6.12,81,158,29,6,17,70,10.0,62,4,1,76,6,13,2,0.328,0.408,0.52,0.928,160.2,0
박한이,2003,5.84,113,170,34,1,12,59,17.0,63,8,1,55,7,8,5,0.322,0.399,0.458,0.857,139.5,0
이영우,2003,5.05,90,148,28,4,16,71,18.0,78,8,7,71,7,3,3,0.297,0.399,0.466,0.865,135.6,0
박재홍,2003,3.76,71,118,15,5,19,66,14.0,60,1,1,84,11,6,2,0.301,0.393,0.51,0.903,148.3,0
마르티네스,2003,3.6,70,132,29,2,17,70,27.0,53,8,1,67,3,1,7,0.273,0.35,0.447,0.797,111.7,0
조경환,2003,2.91,63,107,20,1,23,68,,45,11,0,103,10,8,1,0.285,0.376,0.527,0.903,137.8,0
전준호,2003,2.41,79,119,16,6,3,38,20.0,58,10,0,56,3,20,2,0.269,0.365,0.353,0.718,99.4,0
조원우,2003,2.06,65,127,18,0,8,48,13.0,35,14,1,65,7,13,4,0.281,0.349,0.374,0.723,90.5,0
강동우,2003,1.81,61,118,19,4,9,57,8.0,53,5,0,51,17,15,4,0.266,0.349,0.388,0.737,100.3,0
박용택,2003,1.58,68,127,21,6,11,51,42.0,40,9,2,83,7,6,5,0.257,0.321,0.391,0.712,82.5,0
장원진,2003,1.15,46,112,23,1,5,48,1.0,31,4,1,38,6,4,4,0.29,0.346,0.394,0.74,101.0,0
전상렬,2003,0.14,58,101,15,4,1,29,7.0,30,14,0,56,4,4,2,0.262,0.336,0.329,0.665,73.8,0
박한이,2004,6.07,81,156,26,2,16,63,13.0,69,5,3,57,8,7,3,0.31,0.397,0.465,0.862,141.6,1
이진영,2004,5.66,74,138,19,1,15,63,8.0,66,5,6,49,9,6,2,0.342,0.438,0.505,0.943,168.4,1
심재학,2004,5.43,64,105,23,2,22,81,1.0,79,6,4,54,7,3,9,0.282,0.408,0.532,0.94,154.2,0
이병규,2004,4.7,95,160,26,2,14,64,,50,12,1,72,14,3,1,0.323,0.397,0.468,0.865,141.9,1
이종범,2004,4.56,100,128,29,0,17,52,42.0,53,17,1,50,9,12,2,0.26,0.35,0.422,0.772,103.7,0
이영우,2004,4.56,94,154,31,3,13,60,20.0,73,8,5,66,13,6,2,0.319,0.415,0.476,0.891,149.8,0
전준호,2004,4.39,88,142,10,7,4,48,53.0,63,5,2,64,4,24,2,0.292,0.377,0.366,0.743,110.8,0
김재현,2004,3.93,56,112,18,3,14,62,1.0,66,12,5,58,10,0,7,0.3,0.415,0.477,0.892,144.9,0
데이비스,2004,3.59,70,128,26,1,19,77,9.0,61,3,4,89,12,2,4,0.291,0.378,0.484,0.862,134.8,0
손인호,2004,3.57,54,116,21,2,5,42,,62,5,2,75,5,1,4,0.284,0.382,0.382,0.764,119.0,0
박용택,2004,3.18,51,118,15,2,16,58,10.0,32,3,3,68,4,6,1,0.3,0.357,0.471,0.828,122.5,0
심정수,2004,2.61,64,94,14,1,22,78,,75,6,3,128,11,0,7,0.256,0.385,0.48,0.865,132.2,0
조원우,2004,2.6,59,107,17,2,3,35,5.0,42,11,0,49,3,20,4,0.277,0.361,0.355,0.716,98.1,0
